"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","2443",2443,0,0,0
"2","Albany* GA MSA","3518",3518,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","28995",27615,185,0,1195
"4","Albuquerque* NM MSA","34421",34421,0,0,0
"5","Alexandria* LA MSA","2845",2295,0,0,550
"6","Allentown-Bethlehem-Easton*  PA MSA","19469",19063,0,306,100
"7","Altoona* PA MSA","921",921,0,0,0
"8","Amarillo* TX MSA","5319",5319,0,0,0
"9","Anchorage* AK MSA","10960",8871,1398,691,0
"10","Anniston* AL MSA","3352",3352,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","19099",12215,1968,220,4696
"12","Asheville* NC MSA","13952",13319,423,0,210
"13","Athens* GA MSA","11127",8953,662,0,1512
"14","Atlanta  GA MSA","435371",379412,1023,1597,53339
"15","Auburn-Opelika* AL MSA","3533",3401,132,0,0
"16","Augusta-Aiken* GA-SC MSA","21673",21673,0,0,0
"17","Austin-San Marcos* TX MSA","60251",39880,180,0,20191
"18","Bakersfield* CA MSA","25841",24938,308,166,429
"19","Bangor* ME MSA","2360",2360,0,0,0
"20","Barnstable-Yarmouth* MA MSA","13385",13385,0,0,0
"21","Baton Rouge* LA MSA","9952",9609,118,225,0
"22","Beaumont-Port Arthur* TX MSA","10049",6049,0,0,4000
"23","Bellingham* WA MSA","13406",11845,416,0,1145
"24","Benton Harbor* MI MSA","2017",2017,0,0,0
"25","Billings* MT MSA","3068",3068,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","14532",14532,0,0,0
"27","Binghamton* NY MSA","1084",1084,0,0,0
"28","Birmingham* AL MSA","46859",38033,0,0,8826
"29","Bismarck* ND MSA","8018",6043,376,1599,0
"30","Bloomington* IN MSA","5389",4450,939,0,0
"31","Bloomington-Normal* IL MSA","14224",8494,0,0,5730
"32","Boise City* ID MSA","48302",47303,549,450,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","222827",168620,5228,1071,47908
"34","Brownsville-Harlingen-San  Benito* TX MSA","12229",11812,125,0,292
"35","Bryan-College Station* TX MSA","12928",6110,0,0,6818
"36","Buffalo-Niagara Falls* NY MSA","16618",15419,0,0,1199
"37","Burlington* VT MSA","3807",3635,172,0,0
"38","Canton-Massillon* OH MSA","13492",13492,0,0,0
"39","Casper* WY MSA","708",708,0,0,0
"40","Cedar Rapids* IA MSA","6404",4572,0,794,1038
"41","Champaign-Urbana* IL MSA","4388",4338,50,0,0
"42","Charleston-North  Charleston* SC MSA","59958",49952,562,231,9213
"43","Charleston* WV MSA","2379",2123,0,0,256
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","202701",141048,525,6406,54722
"45","Charlottesville* VA MSA","9975",9330,345,300,0
"46","Chattanooga* TN-GA MSA","15718",15277,0,145,296
"47","Cheyenne* WY MSA","3601",3601,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","489317",400001,4863,18603,65850
"49","Chico-Paradise* CA MSA","8445",8270,175,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","94066",88470,604,927,4065
"51","Clarksville-Hopkinsville*  TN-KY MSA","5975",5855,0,120,0
"52","Cleveland-Akron  OH CMSA","135464",125137,856,1571,7900
"53","Colorado Springs* CO MSA","40984",37446,0,315,3223
"54","Columbia* MO MSA","10742",9857,210,675,0
"55","Columbia* SC MSA","34889",32701,0,0,2188
"56","Columbus* GA-AL MSA","9926",8946,41,306,633
"57","Columbus  OH MSA","145374",123501,1236,4452,16185
"58","Corpus Christi* TX MSA","6171",5495,116,402,158
"59","Corvallis OR MSA*","2586",2253,141,0,192
"60","Cumberland* MD-WV MSA","682",682,0,0,0
"61","Dallas-Fort Worth  TX CMSA","458362",354827,754,1580,101201
"62","Danville* VA MSA","2177",2121,0,56,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","4708",4708,0,0,0
"64","Dayton-Springfield* OH MSA","30755",22928,430,1845,5552
"65","Daytona Beach* FL MSA","69644",44643,128,0,24873
"66","Decatur* Al MSA","2358",2358,0,0,0
"67","Decatur* IL MSA","2078",2078,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","211077",160524,1408,0,49145
"69","Des Moines* IA MSA","43702",34159,495,927,8121
"70","Detroit-Ann Arbor-Flint  MI  CMSA","213084",200516,618,979,10971
"71","Dothan* AL MSA","1829",1829,0,0,0
"72","Dover* DE MSA","9434",9181,253,0,0
"73","Dubuque* IA MSA","3220",3024,196,0,0
"74","Duluth-Superior* MN-WI MSA","6230",5855,76,299,0
"75","Eau Claire* WI MSA","6101",4691,180,1230,0
"76","El Paso* TX MSA","12956",11868,205,601,282
"77","Elkhart-Goshen* IN MSA","9077",8895,0,0,182
"78","Elmira* NY MSA","563",563,0,0,0
"79","Enid* OK MSA","720",720,0,0,0
"80","Erie* PA MSA","2061",2061,0,0,0
"81","Eugene-Springfield* OR MSA","15471",15051,145,275,0
"82","Evansville-Henderson* IN-KY  MSA","4739",4739,0,0,0
"83","Fargo-Moorhead* ND-MN MSA","6160",5864,0,296,0
"84","Fayetteville* NC MSA","9881",7923,0,0,1958
"85","Fayetteville-Springdale-  Rogers* AR MSA","21408",18131,430,1765,1082
"86","Flagstaff* AZ-UT MSA","5843",5712,131,0,0
"87","Florence* AL MSA","598",598,0,0,0
"88","Florence* SC MSA","3820",3473,0,0,347
"89","Fort Collins-Loveland* CO MSA","26035",22616,525,800,2094
"90","Fort Myers-Cape Coral* FL MSA","224661",147486,4874,25264,47037
"91","Fort Pierce-Port St. Lucie*  FL MSA","43257",40557,97,0,2603
"92","Fort Smith* AR-OK MSA","3623",2988,485,150,0
"93","Fort Walton Beach* FL MSA","10519",9789,0,204,526
"94","Fort Wayne* IN MSA","32963",31485,312,320,846
