"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","1792",1792,0,0,0
"2","Albany* GA MSA","4613",4448,165,0,0
"3","Albany-Schenectady-Troy* NY  MSA","30915",29921,127,0,867
"4","Albuquerque* NM MSA","59080",59080,0,0,0
"5","Alexandria* LA MSA","3378",3378,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","24437",24437,0,0,0
"7","Altoona* PA MSA","510",510,0,0,0
"8","Amarillo* TX MSA","19777",12177,0,0,7600
"9","Anchorage* AK MSA","52501",23025,18948,0,10528
"10","Anniston* AL MSA","2555",2555,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","28837",23112,2711,0,3014
"12","Asheville* NC MSA","18818",17865,183,0,770
"13","Athens* GA MSA","13451",11481,473,0,1497
"14","Atlanta  GA MSA","514364",450187,1669,1595,60913
"15","Auburn-Opelika* AL MSA","6701",4444,236,0,2021
"16","Augusta-Aiken* GA-SC MSA","24001",23941,60,0,0
"17","Austin-San Marcos* TX MSA","81666",67073,906,801,12886
"18","Bakersfield* CA MSA","36328",36328,0,0,0
"19","Bangor* ME MSA","3225",3061,164,0,0
"20","Barnstable-Yarmouth* MA MSA","18269",18269,0,0,0
"21","Baton Rouge* LA MSA","10633",10633,0,0,0
"22","Beaumont-Port Arthur* TX MSA","5030",5030,0,0,0
"23","Bellingham* WA MSA","17476",14956,417,170,1933
"24","Benton Harbor* MI MSA","3419",2947,0,472,0
"25","Billings* MT MSA","6651",6651,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","21020",20840,0,180,0
"27","Binghamton* NY MSA","1121",1121,0,0,0
"28","Birmingham* AL MSA","44859",44859,0,0,0
"29","Bismarck* ND MSA","15349",11442,0,1507,2400
"30","Bloomington* IN MSA","7076",5455,1621,0,0
"31","Bloomington-Normal* IL MSA","13557",11814,0,319,1424
"32","Boise City* ID MSA","69140",67409,414,1317,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","226816",204914,4605,2404,14893
"34","Brownsville-Harlingen-San  Benito* TX MSA","14430",13644,279,118,389
"35","Bryan-College Station* TX MSA","6757",6051,86,0,620
"36","Buffalo-Niagara Falls* NY MSA","33194",26183,545,1080,5386
"37","Burlington* VT MSA","5949",5661,288,0,0
"38","Canton-Massillon* OH MSA","17726",16609,862,255,0
"39","Casper* WY MSA","2853",2653,0,0,200
"40","Cedar Rapids* IA MSA","13730",7998,1222,0,4510
"41","Champaign-Urbana* IL MSA","7779",7779,0,0,0
"42","Charleston-North  Charleston* SC MSA","52152",49771,0,277,2104
"43","Charleston* WV MSA","2729",2729,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","183264",177106,884,410,4864
"45","Charlottesville* VA MSA","15877",14229,147,0,1501
"46","Chattanooga* TN-GA MSA","18992",18328,292,125,247
"47","Cheyenne* WY MSA","5269",4836,0,0,433
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","604364",517789,7682,18132,60761
"49","Chico-Paradise* CA MSA","11844",11600,0,244,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","119333",109898,485,2466,6484
"51","Clarksville-Hopkinsville*  TN-KY MSA","10359",9859,0,0,500
"52","Cleveland-Akron  OH CMSA","141209",123899,1235,2216,13859
"53","Colorado Springs* CO MSA","93824",46919,160,0,46745
"54","Columbia* MO MSA","17774",13521,253,0,4000
"55","Columbia* SC MSA","30555",29851,121,456,127
"56","Columbus* GA-AL MSA","15588",15588,0,0,0
"57","Columbus  OH MSA","172957",144551,3945,7894,16567
